POHEADER_PO_ID,PRODUCT,NOTEID,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,QUANTITY,QUANTITYUNIT,DELIVERYDATE
02BD2137-0890-1EEA-A6C2-BB55C1BBC7FB,HT-1000,,EUR,1137.64,956,181.64,1,EA,2020-05-07
02BD2137-0890-1EEA-A6C2-BB55C1BBC7FB,HT-1091,,EUR,61.88,52,9.88,2,EA,2020-09-05
02BD2137-0890-1EEA-A6C2-BB55C1BBE7FB,HT-1100,,USD,213.96,179.8,34.16,2,EA,2020-05-04
02BD2137-0890-1EEA-A6C2-BB55C1BBE7FB,HT-2026,,USD,35.69,29.99,5.7,1,EA,2020-07-15
02BD2137-0890-1EEA-A6C2-BB55C1BC07FB,HT-2000,,EUR,892.46,749.97,142.49,3,EA,2020-03-29
02BD2137-0890-1EEA-A6C2-BB55C1BC07FB,HT-1010,,EUR,2378.81,1999,379.81,1,EA,2020-03-23
02BD2137-0890-1EEA-A6C2-BB55C1BC27FB,HT-1104,,JPY,196.35,165,31.35,3,EA,2020-05-27
02BD2137-0890-1EEA-A6C2-BB55C1BC27FB,HT-1603,,JPY,6069,5100,969,3,EA,2020-12-19
02BD2137-0890-1EEA-A6C2-BB55C1BC47FB,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2020-11-10
02BD2137-0890-1EEA-A6C2-BB55C1BC47FB,HT-1104,,JPY,65.45,55,10.45,1,EA,2020-07-30
02BD2137-0890-1EEA-A6C2-BB55C1BC67FB,HT-1601,,MXN,1071,900,171,1,EA,2020-10-02
02BD2137-0890-1EEA-A6C2-BB55C1BC67FB,HT-1021,,MXN,354.62,298,56.62,2,EA,2020-12-11
02BD2137-0890-1EEA-A6C2-BB55C1BC87FB,HT-1003,,EUR,5890.5,4950,940.5,3,EA,2020-02-08
02BD2137-0890-1EEA-A6C2-BB55C1BC87FB,HT-1101,,EUR,95.08,79.9,15.18,1,EA,2020-12-04
02BD2137-0890-1EEA-A6C2-BB55C1BCA7FB,HT-1007,,USD,1187.62,998,189.62,2,EA,2020-06-28
02BD2137-0890-1EEA-A6C2-BB55C1BCA7FB,HT-1102,,USD,246.33,207,39.33,3,EA,2020-11-01
02BD2137-0890-1EEA-A6C2-BB55C1BCC7FB,HT-1600,,ARS,1428,1200,228,2,EA,2020-11-08
02BD2137-0890-1EEA-A6C2-BB55C1BCC7FB,HT-1022,,ARS,487.9,410,77.9,2,EA,2020-07-12
02BD2137-0890-1EEA-A6C2-BB55C1BCE7FB,HT-6100,,EUR,1116.22,938,178.22,2,EA,2020-05-03
02BD2137-0890-1EEA-A6C2-BB55C1BCE7FB,HT-1000,,EUR,2275.28,1912,363.28,2,EA,2020-11-11
02BD2137-0890-1EEA-A6C2-BB55C1BD07FB,HT-2026,,USD,71.38,59.98,11.4,2,EA,2014-12-21
02BD2137-0890-1EEA-A6C2-BB55C1BD07FB,HT-1002,,USD,3736.6,3140,596.6,2,EA,2020-05-15
02BD2137-0890-1EEA-A6C2-BB55C1BD27FB,HT-1007,,USD,593.81,499,94.81,1,EA,2020-06-04
02BD2137-0890-1EEA-A6C2-BB55C1BD27FB,HT-1102,,USD,246.33,207,39.33,3,EA,2020-11-19
02BD2137-0890-1EEA-A6C2-BB55C1BD47FB,HT-1103,,EUR,183.26,154,29.26,2,EA,2020-06-01
02BD2137-0890-1EEA-A6C2-BB55C1BD47FB,HT-2000,,EUR,594.98,499.98,95,2,EA,2020-10-02
02BD2137-0890-1EEA-A6C2-BB55C1BD67FB,HT-1104,,JPY,65.45,55,10.45,1,EA,2014-12-13
02BD2137-0890-1EEA-A6C2-BB55C1BD67FB,HT-1603,,JPY,6069,5100,969,3,EA,2020-12-03
02BD2137-0890-1EEA-A6C2-BB55C1BD87FB,HT-1603,,JPY,2023,1700,323,1,EA,2020-04-24
02BD2137-0890-1EEA-A6C2-BB55C1BD87FB,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2020-07-15
02BD2137-0890-1EEA-A6C2-BB55C1BDA7FB,HT-1601,,MXN,3213,2700,513,3,EA,2020-07-01
02BD2137-0890-1EEA-A6C2-BB55C1BDA7FB,HT-1021,,MXN,354.62,298,56.62,2,EA,2020-11-28
02BD2137-0890-1EEA-A6C2-BB55C1BDC7FB,HT-2001,,USD,1070.98,899.98,171,2,EA,2020-04-20
02BD2137-0890-1EEA-A6C2-BB55C1BDC7FB,HT-1007,,USD,593.81,499,94.81,1,EA,2020-02-05
02BD2137-0890-1EEA-A6C2-BB55C1BDE7FB,HT-2000,,EUR,297.49,249.99,47.5,1,EA,2014-12-10
02BD2137-0890-1EEA-A6C2-BB55C1BDE7FB,HT-1010,,EUR,4757.62,3998,759.62,2,EA,2020-04-04
02BD2137-0890-1EEA-A6C2-BB55C1BE07FB,HT-1100,,USD,320.94,269.7,51.24,3,EA,2020-08-01
02BD2137-0890-1EEA-A6C2-BB55C1BE07FB,HT-2026,,USD,107.06,89.97,17.09,3,EA,2020-07-21
02BD2137-0890-1EEA-A6C2-BB55C1BE27FB,HT-1600,,ARS,2142,1800,342,3,EA,2020-01-29
02BD2137-0890-1EEA-A6C2-BB55C1BE27FB,HT-1022,,ARS,243.95,205,38.95,1,EA,2020-04-10
02BD2137-0890-1EEA-A6C2-BB55C1BE47FB,HT-6100,,EUR,1116.22,938,178.22,2,EA,2020-09-23
02BD2137-0890-1EEA-A6C2-BB55C1BE47FB,HT-1000,,EUR,2275.28,1912,363.28,2,EA,2020-12-23
02BD2137-0890-1EEA-A6C2-BB55C1BE67FB,HT-2026,,USD,71.38,59.98,11.4,2,EA,2020-08-06
02BD2137-0890-1EEA-A6C2-BB55C1BE67FB,HT-1002,,USD,1868.3,1570,298.3,1,EA,2020-03-16
02BD2137-0890-1EEA-A6C2-BB55C1BE87FB,HT-1603,,JPY,6069,5100,969,3,EA,2020-07-07
02BD2137-0890-1EEA-A6C2-BB55C1BE87FB,HT-1011,,JPY,8207.43,6897,1310.43,3,EA,2020-10-19
02BD2137-0890-1EEA-A6C2-BB55C1BEA7FB,HT-1106,,MXN,121.38,102,19.38,3,EA,2020-11-07
02BD2137-0890-1EEA-A6C2-BB55C1BEA7FB,HT-1601,,MXN,3213,2700,513,3,EA,2020-02-22
02BD2137-0890-1EEA-A6C2-BB55C1BEC7FB,HT-2000,,EUR,892.46,749.97,142.49,3,EA,2020-05-18
02BD2137-0890-1EEA-A6C2-BB55C1BEC7FB,HT-1010,,EUR,7136.43,5997,1139.43,3,EA,2020-09-13
02BD2137-0890-1EEA-A6C2-BB55C1BEE7FB,HT-1003,,EUR,1963.5,1650,313.5,1,EA,2020-01-18
02BD2137-0890-1EEA-A6C2-BB55C1BEE7FB,HT-1101,,EUR,190.16,159.8,30.36,2,EA,2020-03-30
02BD2137-0890-1EEA-A6C2-BB55C1BF07FB,HT-1101,,EUR,190.16,159.8,30.36,2,EA,2020-10-30
02BD2137-0890-1EEA-A6C2-BB55C1BF07FB,HT-2025,,EUR,53.54,44.99,8.55,1,EA,2020-12-29
02BD2137-0890-1EEA-A6C2-BB55C1BF27FB,HT-2025,,EUR,160.61,134.97,25.64,3,EA,2020-01-11
02BD2137-0890-1EEA-A6C2-BB55C1BF27FB,HT-1003,,EUR,1963.5,1650,313.5,1,EA,2020-03-05
02BD2137-0890-1EEA-A6C2-BB55C1BF47FB,HT-1106,,MXN,121.38,102,19.38,3,EA,2020-05-14
02BD2137-0890-1EEA-A6C2-BB55C1BF47FB,HT-1601,,MXN,3213,2700,513,3,EA,2020-05-23
02BD2137-0890-1EEA-A6C2-BB55C1BF67FB,HT-1007,,USD,1187.62,998,189.62,2,EA,2014-12-07
02BD2137-0890-1EEA-A6C2-BB55C1BF67FB,HT-1102,,USD,82.11,69,13.11,1,EA,2020-12-22
02BD2137-0890-1EEA-A6C2-BB55C1BF87FB,HT-1603,,JPY,2023,1700,323,1,EA,2020-06-03
02BD2137-0890-1EEA-A6C2-BB55C1BF87FB,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2020-03-15
02BD2137-0890-1EEA-A6C2-BB55C1BFA7FB,HT-1007,,USD,1781.43,1497,284.43,3,EA,2020-05-23
02BD2137-0890-1EEA-A6C2-BB55C1BFA7FB,HT-1102,,USD,82.11,69,13.11,1,EA,2014-12-24
02BD2137-0890-1EEA-A6C2-BB55C1BFC7FB,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2020-09-20
02BD2137-0890-1EEA-A6C2-BB55C1BFC7FB,HT-1104,,JPY,196.35,165,31.35,3,EA,2020-09-08
02BD2137-0890-1EEA-A6C2-BB55C1BFE7FB,HT-1600,,ARS,1428,1200,228,2,EA,2020-08-18
02BD2137-0890-1EEA-A6C2-BB55C1BFE7FB,HT-1022,,ARS,487.9,410,77.9,2,EA,2020-07-23
02BD2137-0890-1EEA-A6C2-BB55C1C007FB,HT-6100,,EUR,1116.22,938,178.22,2,EA,2020-11-13
02BD2137-0890-1EEA-A6C2-BB55C1C007FB,HT-1000,,EUR,2275.28,1912,363.28,2,EA,2020-11-02
02BD2137-0890-1EEA-A6C2-BB55C1C027FB,HT-2026,,USD,71.38,59.98,11.4,2,EA,2020-10-03
02BD2137-0890-1EEA-A6C2-BB55C1C027FB,HT-1002,,USD,3736.6,3140,596.6,2,EA,2020-09-11
02BD2137-0890-1EEA-A6C2-BB55C1C047FB,HT-1003,,EUR,1963.5,1650,313.5,1,EA,2020-02-28
02BD2137-0890-1EEA-A6C2-BB55C1C047FB,HT-1101,,EUR,285.24,239.7,45.54,3,EA,2014-12-07
02BD2137-0890-1EEA-A6C2-BB55C1C067FB,HT-1103,,EUR,183.26,154,29.26,2,EA,2014-12-13
02BD2137-0890-1EEA-A6C2-BB55C1C067FB,HT-2000,,EUR,594.98,499.98,95,2,EA,2020-07-01
02BD2137-0890-1EEA-A6C2-BB55C1C087FB,HT-1104,,JPY,65.45,55,10.45,1,EA,2020-08-18
02BD2137-0890-1EEA-A6C2-BB55C1C087FB,HT-1603,,JPY,6069,5100,969,3,EA,2020-01-09
02BD2137-0890-1EEA-A6C2-BB55C1C0A7FB,HT-1603,,JPY,2023,1700,323,1,EA,2020-10-15
02BD2137-0890-1EEA-A6C2-BB55C1C0A7FB,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2020-10-05
02BD2137-0890-1EEA-A6C2-BB55C1C0C7FB,HT-1601,,MXN,3213,2700,513,3,EA,2020-10-12
02BD2137-0890-1EEA-A6C2-BB55C1C0C7FB,HT-1021,,MXN,354.62,298,56.62,2,EA,2020-05-23
